Row_Number,City_Name,City_Canonical_Name,Lat_Lon,Start_Time,End_Time,Temperature,Pressure,Humidity,Weather_ID
303062,Streeterville,"Streeterville,Illinois,United States","41.89843,-87.62141",1394690400,1394701199,260.61,1010.55,58,800
303063,Streeterville,"Streeterville,Illinois,United States","41.89843,-87.62141",1394701200,1394711999,255.59,1010.74,52,800
303064,Streeterville,"Streeterville,Illinois,United States","41.89843,-87.62141",1394712000,1394722799,255.41,1011.1,35,800
303065,Corryville,"Corryville,Ohio,United States","39.1343,-84.50574",1394679600,1394690399,268.45,1002.91,69,600
303066,Corryville,"Corryville,Ohio,United States","39.1343,-84.50574",1394690400,1394701199,264.59,1004.55,62,801
303067,Corryville,"Corryville,Ohio,United States","39.1343,-84.50574",1394701200,1394711999,262.73,1006.12,71,801
303068,Corryville,"Corryville,Ohio,United States","39.1343,-84.50574",1394712000,1394722799,261.35,1008.34,73,800
303069,Central Business District,"Central Business District,Ohio,United States","39.10201,-84.50985",1394679600,1394690399,268.45,1002.91,69,600
303070,Central Business District,"Central Business District,Ohio,United States","39.10201,-84.50985",1394690400,1394701199,264.59,1004.55,62,801
303071,Central Business District,"Central Business District,Ohio,United States","39.10201,-84.50985",1394701200,1394711999,262.73,1006.12,71,801
303072,Central Business District,"Central Business District,Ohio,United States","39.10201,-84.50985",1394712000,1394722799,261.35,1008.34,73,800
303073,Downtown,"Downtown,Ohio,United States","41.50472,-81.68624",1394679600,1394690399,262.68,993.02,78,600
303074,Downtown,"Downtown,Ohio,United States","41.50472,-81.68624",1394690400,1394701199,260.86,994.42,75,800
303075,Downtown,"Downtown,Ohio,United States","41.50472,-81.68624",1394701200,1394711999,260.13,995.99,71,800
303076,Downtown,"Downtown,Ohio,United States","41.50472,-81.68624",1394712000,1394722799,259.1,998.7,78,800
303077,University Circle,"University Circle,Ohio,United States","41.50727,-81.61315",1394679600,1394690399,262.81,993.02,78,600
303078,University Circle,"University Circle,Ohio,United States","41.50727,-81.61315",1394690400,1394701199,260.98,994.42,75,800
303079,University Circle,"University Circle,Ohio,United States","41.50727,-81.61315",1394701200,1394711999,260.25,995.99,71,800
303080,University Circle,"University Circle,Ohio,United States","41.50727,-81.61315",1394712000,1394722799,259.21,998.7,78,800
303081,Hough,"Hough,Ohio,United States","36.870861,-101.577103",1394679600,1394690399,275.76,927.28,55,800
303082,Hough,"Hough,Ohio,United States","36.870861,-101.577103",1394690400,1394701199,273.27,927.22,38,800
303083,Hough,"Hough,Ohio,United States","36.870861,-101.577103",1394701200,1394711999,272.23,926.44,38,800
303084,Hough,"Hough,Ohio,United States","36.870861,-101.577103",1394712000,1394722799,270.04,925.26,51,800
303085,Downtown,"Downtown,Colorado,United States","38.82968,-104.82464",1394679600,1394690399,271.44,819.88,62,800
303086,Downtown,"Downtown,Colorado,United States","38.82968,-104.82464",1394690400,1394701199,267.42,819.82,73,800
303087,Downtown,"Downtown,Colorado,United States","38.82968,-104.82464",1394701200,1394711999,266.16,818.55,68,800
303088,Downtown,"Downtown,Colorado,United States","38.82968,-104.82464",1394712000,1394722799,266.43,817.45,47,800
303089,Livingston Park,"Livingston Park,Ohio,United States","39.95272,-82.97571",1394679600,1394690399,264.86,990.91,77,800
303090,Livingston Park,"Livingston Park,Ohio,United States","39.95272,-82.97571",1394690400,1394701199,262.33,992.31,72,800
303091,Livingston Park,"Livingston Park,Ohio,United States","39.95272,-82.97571",1394701200,1394711999,260.96,993.96,72,800
303092,Livingston Park,"Livingston Park,Ohio,United States","39.95272,-82.97571",1394712000,1394722799,260.12,996.43,76,800
303093,Downtown,"Downtown,Ohio,United States","41.50472,-81.68624",1394679600,1394690399,262.68,993.02,78,600
303094,Downtown,"Downtown,Ohio,United States","41.50472,-81.68624",1394690400,1394701199,260.86,994.42,75,800
303095,Downtown,"Downtown,Ohio,United States","41.50472,-81.68624",1394701200,1394711999,260.13,995.99,71,800
303096,Downtown,"Downtown,Ohio,United States","41.50472,-81.68624",1394712000,1394722799,259.1,998.7,78,800
303097,Knolls Thomas,"Knolls Thomas,Ohio,United States","40.04193,-83.03504",1394679600,1394690399,264.86,990.91,77,800
303098,Knolls Thomas,"Knolls Thomas,Ohio,United States","40.04193,-83.03504",1394690400,1394701199,262.33,992.31,72,800
303099,Knolls Thomas,"Knolls Thomas,Ohio,United States","40.04193,-83.03504",1394701200,1394711999,260.96,993.96,72,800
303100,Knolls Thomas,"Knolls Thomas,Ohio,United States","40.04193,-83.03504",1394712000,1394722799,260.12,996.43,76,800
303101,Downtown,"Downtown,Texas,United States","29.42651,-98.48858",1394679600,1394690399,282.12,1012.64,32,800
303102,Downtown,"Downtown,Texas,United States","29.42651,-98.48858",1394690400,1394701199,279.4,1014.2,38,800
303103,Downtown,"Downtown,Texas,United States","29.42651,-98.48858",1394701200,1394711999,275.93,1014.79,48,800
303104,Downtown,"Downtown,Texas,United States","29.42651,-98.48858",1394712000,1394722799,273.3,1015.07,58,800
303105,Central Business District,"Central Business District,Colorado,United States","39.74367,-104.99067",1394679600,1394690399,272.84,816.63,59,800
303106,Central Business District,"Central Business District,Colorado,United States","39.74367,-104.99067",1394690400,1394701199,268.15,816.49,65,800
303107,Central Business District,"Central Business District,Colorado,United States","39.74367,-104.99067",1394701200,1394711999,266.57,815.22,64,800
303108,Central Business District,"Central Business District,Colorado,United States","39.74367,-104.99067",1394712000,1394722799,265.47,814.04,59,800
303109,Uptown,"Uptown,Colorado,United States","38.86349,-105.40429",1394679600,1394690399,269.82,764.27,48,800
303110,Uptown,"Uptown,Colorado,United States","38.86349,-105.40429",1394690400,1394701199,265.37,764.21,54,800
303111,Uptown,"Uptown,Colorado,United States","38.86349,-105.40429",1394701200,1394711999,263.72,763.43,56,800
303112,Uptown,"Uptown,Colorado,United States","38.86349,-105.40429",1394712000,1394722799,263.36,762.49,57,800
303113,Cherry Creek,"Cherry Creek,Colorado,United States","39.71782,-104.94883",1394679600,1394690399,274.61,816.63,59,800
303114,Cherry Creek,"Cherry Creek,Colorado,United States","39.71782,-104.94883",1394690400,1394701199,269.83,816.49,65,800
303115,Cherry Creek,"Cherry Creek,Colorado,United States","39.71782,-104.94883",1394701200,1394711999,268.16,815.22,64,800
303116,Cherry Creek,"Cherry Creek,Colorado,United States","39.71782,-104.94883",1394712000,1394722799,266.97,814.04,59,800
303117,Downtown,"Downtown,Michigan,United States","42.33451,-83.04907",1394679600,1394690399,261.65,1004.45,73,800
303118,Downtown,"Downtown,Michigan,United States","42.33451,-83.04907",1394690400,1394701199,260.76,1005.44,70,800
303119,Downtown,"Downtown,Michigan,United States","42.33451,-83.04907",1394701200,1394711999,258.73,1006.44,74,800
303120,Downtown,"Downtown,Michigan,United States","42.33451,-83.04907",1394712000,1394722799,256.53,1008.83,66,800
303121,Midtown,"Midtown,Michigan,United States","35.87952,-84.564102",1394679600,1394690399,272.71,989.13,51,801
303122,Midtown,"Midtown,Michigan,United States","35.87952,-84.564102",1394690400,1394701199,269.77,991.66,48,800
303123,Midtown,"Midtown,Michigan,United States","35.87952,-84.564102",1394701200,1394711999,268.43,992.91,54,800
303124,Midtown,"Midtown,Michigan,United States","35.87952,-84.564102",1394712000,1394722799,267.47,995.21,52,800
303125,Golden Hill,"Golden Hill,Texas,United States","31.78029,-106.48274",1394679600,1394690399,281.51,888.94,30,800
303126,Golden Hill,"Golden Hill,Texas,United States","31.78029,-106.48274",1394690400,1394701199,279.2,889.04,34,800
303127,Golden Hill,"Golden Hill,Texas,United States","31.78029,-106.48274",1394701200,1394711999,276.85,888.18,40,800
303128,Golden Hill,"Golden Hill,Texas,United States","31.78029,-106.48274",1394712000,1394722799,275.08,887.24,45,800
303129,Normandy Park,"Normandy Park,Texas,United States","47.436211,-122.340683",1394679600,1394690399,281.88,1024.47,83,800
303130,Normandy Park,"Normandy Park,Texas,United States","47.436211,-122.340683",1394690400,1394701199,279.02,1024.09,88,800
303131,Normandy Park,"Normandy Park,Texas,United States","47.436211,-122.340683",1394701200,1394711999,277.35,1023.95,91,801
303132,Normandy Park,"Normandy Park,Texas,United States","47.436211,-122.340683",1394712000,1394722799,276.73,1022.77,93,802
303133,Winkler,"Winkler,Florida,United States","26.60436,-81.86351",1394679600,1394690399,293.85,1024.47,96,500
303134,Winkler,"Winkler,Florida,United States","26.60436,-81.86351",1394690400,1394701199,291.73,1025.39,96,802
303135,Winkler,"Winkler,Florida,United States","26.60436,-81.86351",1394701200,1394711999,291.46,1025.73,92,804
303136,Winkler,"Winkler,Florida,United States","26.60436,-81.86351",1394712000,1394722799,290.77,1028.61,79,802
303137,Cultural District,"Cultural District,Texas,United States","32.74737,-97.36109",1394679600,1394690399,279.12,1013.93,44,800
303138,Cultural District,"Cultural District,Texas,United States","32.74737,-97.36109",1394690400,1394701199,275.21,1014.61,71,800
303139,Cultural District,"Cultural District,Texas,United States","32.74737,-97.36109",1394701200,1394711999,273.41,1014.22,74,800
303140,Cultural District,"Cultural District,Texas,United States","32.74737,-97.36109",1394712000,1394722799,272.79,1014.43,71,801
303141,Fairmount,"Fairmount,Texas,United States","35.181461,-85.32357",1394679600,1394690399,277.07,982.64,58,800
303142,Fairmount,"Fairmount,Texas,United States","35.181461,-85.32357",1394690400,1394701199,274.75,984.29,60,800
303143,Fairmount,"Fairmount,Texas,United States","35.181461,-85.32357",1394701200,1394711999,273.47,985.45,65,800
303144,Fairmount,"Fairmount,Texas,United States","35.181461,-85.32357",1394712000,1394722799,272.19,987.67,68,800
303145,Ridglea Hills,"Ridglea Hills,Texas,United States","32.71165,-97.42884",1394679600,1394690399,279.12,1013.93,44,800
303146,Ridglea Hills,"Ridglea Hills,Texas,United States","32.71165,-97.42884",1394690400,1394701199,275.21,1014.61,71,800
303147,Ridglea Hills,"Ridglea Hills,Texas,United States","32.71165,-97.42884",1394701200,1394711999,273.41,1014.22,74,800
303148,Ridglea Hills,"Ridglea Hills,Texas,United States","32.71165,-97.42884",1394712000,1394722799,272.79,1014.43,71,801
303149,Central District,"Central District,California,United States","39.74797,-104.98854",1394679600,1394690399,272.84,816.63,59,800
303150,Central District,"Central District,California,United States","39.74797,-104.98854",1394690400,1394701199,268.15,816.49,65,800
303151,Central District,"Central District,California,United States","39.74797,-104.98854",1394701200,1394711999,266.57,815.22,64,800
303152,Central District,"Central District,California,United States","39.74797,-104.98854",1394712000,1394722799,265.47,814.04,59,800
303153,Parkmont,"Parkmont,California,United States","37.5642,-121.98762",1394679600,1394690399,288.76,1011.91,37,800
303154,Parkmont,"Parkmont,California,United States","37.5642,-121.98762",1394690400,1394701199,283.25,1012.17,47,800
303155,Parkmont,"Parkmont,California,United States","37.5642,-121.98762",1394701200,1394711999,279.04,1012.04,64,800
303156,Parkmont,"Parkmont,California,United States","37.5642,-121.98762",1394712000,1394722799,277.02,1011.67,63,800
303157,Centerville,"Centerville,California,United States","39.628391,-84.159378",1394679600,1394690399,267.6,995.94,84,600
303158,Centerville,"Centerville,California,United States","39.628391,-84.159378",1394690400,1394701199,264.36,997.5,81,802
303159,Centerville,"Centerville,California,United States","39.628391,-84.159378",1394701200,1394711999,262.72,998.74,80,801
303160,Centerville,"Centerville,California,United States","39.628391,-84.159378",1394712000,1394722799,261.46,1001.13,75,800
303161,Central Fresno,"Central Fresno,California,United States","36.67818,-119.69993",1394679600,1394690399,291.15,1019.6,74,800
303162,Central Fresno,"Central Fresno,California,United States","36.67818,-119.69993",1394690400,1394701199,286.7,1020.04,71,800
303163,Central Fresno,"Central Fresno,California,United States","36.67818,-119.69993",1394701200,1394711999,283.85,1019.49,78,800
303164,Central Fresno,"Central Fresno,California,United States","36.67818,-119.69993",1394712000,1394722799,282.43,1018.72,75,800
303165,City Center,"City Center,California,United States","34.14995,-118.25076",1394679600,1394690399,287.64,957.6,31,800
303166,City Center,"City Center,California,United States","34.14995,-118.25076",1394690400,1394701199,282.79,958.35,47,800
303167,City Center,"City Center,California,United States","34.14995,-118.25076",1394701200,1394711999,279.49,957.97,67,800
303168,City Center,"City Center,California,United States","34.14995,-118.25076",1394712000,1394722799,278.32,957.03,70,800
303169,Vineyard,"Vineyard,California,United States","38.464489,-121.346916",1394679600,1394690399,288.66,1016.36,45,800
303170,Vineyard,"Vineyard,California,United States","38.464489,-121.346916",1394690400,1394701199,283.95,1017.61,44,800
303171,Vineyard,"Vineyard,California,United States","38.464489,-121.346916",1394701200,1394711999,281.89,1017.71,46,800
303172,Vineyard,"Vineyard,California,United States","38.464489,-121.346916",1394712000,1394722799,279.71,1017.34,60,800
303173,Pacific - Edison,"Pacific - Edison,California,United States","34.13817,-118.26082",1394679600,1394690399,287.64,957.6,31,800
303174,Pacific - Edison,"Pacific - Edison,California,United States","34.13817,-118.26082",1394690400,1394701199,282.79,958.35,47,800
303175,Pacific - Edison,"Pacific - Edison,California,United States","34.13817,-118.26082",1394701200,1394711999,279.49,957.97,67,800
303176,Pacific - Edison,"Pacific - Edison,California,United States","34.13817,-118.26082",1394712000,1394722799,278.32,957.03,70,800
303177,Tropico,"Tropico,California,United States","34.12812,-118.2578",1394679600,1394690399,287.64,957.6,31,800
303178,Tropico,"Tropico,California,United States","34.12812,-118.2578",1394690400,1394701199,282.79,958.35,47,800
303179,Tropico,"Tropico,California,United States","34.12812,-118.2578",1394701200,1394711999,279.49,957.97,67,800
303180,Tropico,"Tropico,California,United States","34.12812,-118.2578",1394712000,1394722799,278.32,957.03,70,800
303181,Heartside-Downtown,"Heartside-Downtown,Michigan,United States","42.96161,-85.66916",1394679600,1394690399,262.39,1003.96,64,800
303182,Heartside-Downtown,"Heartside-Downtown,Michigan,United States","42.96161,-85.66916",1394690400,1394701199,257.96,1004.71,69,800
303183,Heartside-Downtown,"Heartside-Downtown,Michigan,United States","42.96161,-85.66916",1394701200,1394711999,253.53,1005.06,66,800
303184,Heartside-Downtown,"Heartside-Downtown,Michigan,United States","42.96161,-85.66916",1394712000,1394722799,252.08,1005.83,37,800
303185,Belknap Lookout,"Belknap Lookout,Michigan,United States","42.97642,-85.66726",1394679600,1394690399,262.39,1003.96,64,800
303186,Belknap Lookout,"Belknap Lookout,Michigan,United States","42.97642,-85.66726",1394690400,1394701199,257.96,1004.71,69,800
303187,Belknap Lookout,"Belknap Lookout,Michigan,United States","42.97642,-85.66726",1394701200,1394711999,253.53,1005.06,66,800
303188,Belknap Lookout,"Belknap Lookout,Michigan,United States","42.97642,-85.66726",1394712000,1394722799,252.08,1005.83,37,800
303189,Sterling,"Sterling,South Carolina,United States","41.7076,-71.828682",1394679600,1394690399,279.33,989.78,90,501
303190,Sterling,"Sterling,South Carolina,United States","41.7076,-71.828682",1394690400,1394701199,279.46,987.12,91,500
303191,Sterling,"Sterling,South Carolina,United States","41.7076,-71.828682",1394701200,1394711999,272.65,992.26,88,803
303192,Sterling,"Sterling,South Carolina,United States","41.7076,-71.828682",1394712000,1394722799,268.32,998.62,89,600
303193,Central Business District,"Central Business District,Texas,United States","27.50564,-99.50608",1394679600,1394690399,288.15,1016.85,57,800
303194,Central Business District,"Central Business District,Texas,United States","27.50564,-99.50608",1394690400,1394701199,284.63,1018.5,59,800
303195,Central Business District,"Central Business District,Texas,United States","27.50564,-99.50608",1394701200,1394711999,282.81,1018.6,57,800
303196,Central Business District,"Central Business District,Texas,United States","27.50564,-99.50608",1394712000,1394722799,281.32,1018.72,59,800
303197,Downtown,"Downtown,Texas,United States","29.42651,-98.48858",1394679600,1394690399,282.12,1012.64,32,800
303198,Downtown,"Downtown,Texas,United States","29.42651,-98.48858",1394690400,1394701199,279.4,1014.2,38,800
303199,Downtown,"Downtown,Texas,United States","29.42651,-98.48858",1394701200,1394711999,275.93,1014.79,48,800
303200,Downtown,"Downtown,Texas,United States","29.42651,-98.48858",1394712000,1394722799,273.3,1015.07,58,800
303201,Afton Oaks,"Afton Oaks,Texas,United States","29.7519,-95.43286",1394679600,1394690399,284.12,1035.17,37,800
303202,Afton Oaks,"Afton Oaks,Texas,United States","29.7519,-95.43286",1394690400,1394701199,281.89,1036.9,39,800
303203,Afton Oaks,"Afton Oaks,Texas,United States","29.7519,-95.43286",1394701200,1394711999,279.42,1037.73,45,800
303204,Afton Oaks,"Afton Oaks,Texas,United States","29.7519,-95.43286",1394712000,1394722799,276.28,1038.99,58,800
303205,Greenway/ Upper Kirby,"Greenway/ Upper Kirby,Texas,United States","29.73242,-95.44149",1394679600,1394690399,284.24,1035.17,37,800
303206,Greenway/ Upper Kirby,"Greenway/ Upper Kirby,Texas,United States","29.73242,-95.44149",1394690400,1394701199,282.01,1036.9,39,800
303207,Greenway/ Upper Kirby,"Greenway/ Upper Kirby,Texas,United States","29.73242,-95.44149",1394701200,1394711999,279.53,1037.73,45,800
303208,Greenway/ Upper Kirby,"Greenway/ Upper Kirby,Texas,United States","29.73242,-95.44149",1394712000,1394722799,276.38,1038.99,58,800
303209,Castleton,"Castleton,Indiana,United States","43.610619,-73.179832",1394679600,1394690399,262.15,968.94,75,601
303210,Castleton,"Castleton,Indiana,United States","43.610619,-73.179832",1394690400,1394701199,260.8,969.62,67,601
303211,Castleton,"Castleton,Indiana,United States","43.610619,-73.179832",1394701200,1394711999,258.16,971.51,62,600
303212,Castleton,"Castleton,Indiana,United States","43.610619,-73.179832",1394712000,1394722799,257.1,974.3,63,600
303213,Irvine Business Complex,"Irvine Business Complex,California,United States","33.68449,-117.84844",1394679600,1394690399,287.78,996.67,80,800
303214,Irvine Business Complex,"Irvine Business Complex,California,United States","33.68449,-117.84844",1394690400,1394701199,283.22,997.5,95,800
303215,Irvine Business Complex,"Irvine Business Complex,California,United States","33.68449,-117.84844",1394701200,1394711999,281.25,997.2,94,800
303216,Irvine Business Complex,"Irvine Business Complex,California,United States","33.68449,-117.84844",1394712000,1394722799,281.13,996.43,98,802
303217,Irvine Spectrum Center,"Irvine Spectrum Center,California,United States","33.65352,-117.75854",1394679600,1394690399,287.78,996.67,80,800
303218,Irvine Spectrum Center,"Irvine Spectrum Center,California,United States","33.65352,-117.75854",1394690400,1394701199,283.22,997.5,95,800
303219,Irvine Spectrum Center,"Irvine Spectrum Center,California,United States","33.65352,-117.75854",1394701200,1394711999,281.25,997.2,94,800
303220,Irvine Spectrum Center,"Irvine Spectrum Center,California,United States","33.65352,-117.75854",1394712000,1394722799,281.13,996.43,98,802
303221,Irvine Technology Center,"Irvine Technology Center,California,United States","33.65574,-117.73551",1394679600,1394690399,288.26,996.67,80,800
